id,name,link
0K4gnfgnaEqM4g1rfgiueV,Top US Singles: 1982-1983,https://open.spotify.com/playlist/0K4gnfgnaEqM4g1rfgiueV
3l7ojrp81TA9kcG7eLyIPE,Top US Singles: 1983-1984,https://open.spotify.com/playlist/3l7ojrp81TA9kcG7eLyIPE
2yYDO5YIqI9TbkiewNskIF,Top US Singles: 1984-1985,https://open.spotify.com/playlist/2yYDO5YIqI9TbkiewNskIF
6dgfJyBqfyDD0214lOrlTH,Top US Singles: 1985-1986,https://open.spotify.com/playlist/6dgfJyBqfyDD0214lOrlTH
5gsdIvc50VRD2I8xlttfVN,Top US Singles: 1986-1987,https://open.spotify.com/playlist/5gsdIvc50VRD2I8xlttfVN
5WLphnRnPZWJkjcDkrqe5Q,Top US Singles: 1987-1988,https://open.spotify.com/playlist/5WLphnRnPZWJkjcDkrqe5Q
1aRkSdDKKqQNeQA8PM7AO9,Top US Singles: 1988-1989,https://open.spotify.com/playlist/1aRkSdDKKqQNeQA8PM7AO9
0Pw5AJWTHKKkZ0FJGtQOWV,Top US Singles: 1989-1990,https://open.spotify.com/playlist/0Pw5AJWTHKKkZ0FJGtQOWV
5EYhIFrp3uJsSci3m5ise0,Top US Singles: 1990-1991,https://open.spotify.com/playlist/5EYhIFrp3uJsSci3m5ise0
1SWfB7Td0utn8BwxobtpNs,Top US Singles: 1991-1992,https://open.spotify.com/playlist/1SWfB7Td0utn8BwxobtpNs
2NgX1uNgQfwZWWPzanAIYd,Top US Singles: 1992-1993,https://open.spotify.com/playlist/2NgX1uNgQfwZWWPzanAIYd
2rgLQQQYvysvNWvUBfR3hQ,Top US Singles: 1993-1994,https://open.spotify.com/playlist/2rgLQQQYvysvNWvUBfR3hQ
0npY7BkGZTwQgbANFRa4u3,Top US Singles: 1994-1995,https://open.spotify.com/playlist/0npY7BkGZTwQgbANFRa4u3
3b39sM2K5n7TBvPgR5S48o,Top US Singles: 1995-1996,https://open.spotify.com/playlist/3b39sM2K5n7TBvPgR5S48o
2qhLWn1yBWZmiDbg7DSIIG,Top US Singles: 1996-1997,https://open.spotify.com/playlist/2qhLWn1yBWZmiDbg7DSIIG
2yOcr8ByHQrslJP77P63Is,Top US Singles: 1997-1998,https://open.spotify.com/playlist/2yOcr8ByHQrslJP77P63Is
6OillH3MssB8LpykubQjn6,Top US Singles: 1998-1999,https://open.spotify.com/playlist/6OillH3MssB8LpykubQjn6
1DxQPSnYP6CD2TJUx5R7mW,Top US Singles: 1999-2000,https://open.spotify.com/playlist/1DxQPSnYP6CD2TJUx5R7mW
78Uy3dV6RwzpFNHLZ6jVN5,Top US Singles: 2000-2001,https://open.spotify.com/playlist/78Uy3dV6RwzpFNHLZ6jVN5
7xtkxmyU9FY58R3QfsO2iu,Top US Singles: 2001-2002,https://open.spotify.com/playlist/7xtkxmyU9FY58R3QfsO2iu
4rYbsBXjKZeXGVmF0jbzSY,Top US Singles: 2002-2003,https://open.spotify.com/playlist/4rYbsBXjKZeXGVmF0jbzSY
7xTthiqfa8H77lKe1ubfXs,Top US Singles: 2003-2004,https://open.spotify.com/playlist/7xTthiqfa8H77lKe1ubfXs
